编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,目前，人类已知月球上的能源有	生物能、风能,None,0,,,,目前 ， 人类 已 知 月球 上 的 能源 有 生物能 、 风能,目前 ， 人类 已 知 月球 上 的 能源 有 生物能 、 风能,time PU NN AD VV NN LC DEG NN VE NN PU NN,,时间限定_0（目前）匹配_1（人类已知月球上的能源，生物能）匹配_2（人类已知月球上的能源，风能）,时间限定_0（目前）匹配_1（人类已知月球上的能源，生物能）匹配_2（人类已知月球上的能源，风能）,1_0 2_9,1_0 2_9,时间限定 匹配,时间限定 匹配,0,,目前 ， 人类 已 知 月球 上 的 能源 有 生物能 、 风能,目前 ， 人类 已 知 月球 上 的 能源 有 生物能 、 风能,time PU NN AD VV NN LC DEG NN VE NN PU NN,( (IP (NP (NT 目前)) (PU ，) (NP (NN 人类)) (VP (ADVP (AD 已)) (VP (VV 知) (IP (NP (DNP (LCP (NP (NN 月球)) (LC 上)) (DEG 的)) (NP (NN 能源))) (VP (VE 有) (NP (NN 生物能) (PU 、) (NN 风能))))))) )
1-B,目前，人类已知月球上的能源有	核能、潮汐能,None,0,,,,目前 ， 人类 已 知 月球 上 的 能源 有 核能 、 潮汐能,目前 ， 人类 已 知 月球 上 的 能源 有 核能 、 潮汐能,time PU NN AD VV NN LC DEG NN VE NN PU NN,,时间限定_0（目前）匹配_1（人类已知月球上的能源，核能）匹配_2（人类已知月球上的能源，潮汐能）,时间限定_0（目前）匹配_1（人类已知月球上的能源，核能）匹配_2（人类已知月球上的能源，潮汐能）,1_0 2_9,1_0 2_9,时间限定 匹配,时间限定 匹配,0,,目前 ， 人类 已 知 月球 上 的 能源 有 核能 、 潮汐 能,目前 ， 人类 已 知 月球 上 的 能源 有 核能 、 潮汐 能,time PU NN AD VV NN LC DEG NN VE NN PU NN,( (IP (NP (NT 目前)) (PU ，) (NP (NN 人类)) (VP (ADVP (AD 已)) (VP (VV 知) (IP (NP (DNP (LCP (NP (NN 月球)) (LC 上)) (DEG 的)) (NP (NN 能源))) (VP (VE 有) (NP (NN 核能) (PU 、) (NN 潮汐能))))))) )
1-C,目前，人类已知月球上的能源有	潮汐能、太阳能,None,0,,,,目前 ， 人类 已 知 月球 上 的 能源 有 潮汐能 、 太阳能,目前 ， 人类 已 知 月球 上 的 能源 有 潮汐能 、 太阳能,time PU NN AD VV NN LC DEG NN VE NN PU NN,,时间限定_0（目前）匹配_1（人类已知月球上的能源，潮汐能）匹配_2（人类已知月球上的能源，太阳能）,时间限定_0（目前）匹配_1（人类已知月球上的能源，潮汐能）匹配_2（人类已知月球上的能源，太阳能）,1_0 2_9,1_0 2_9,时间限定 匹配,时间限定 匹配,0,,目前 ， 人类 已 知 月球 上 的 能源 有 潮汐能 、 太阳 能,目前 ， 人类 已 知 月球 上 的 能源 有 潮汐能 、 太阳 能,time PU NN AD VV NN LC DEG NN VE NN PU NN,( (IP (NP (NT 目前)) (PU ，) (NP (NN 人类)) (VP (ADVP (AD 已)) (VP (VV 知) (IP (NP (DNP (LCP (NP (NN 月球)) (LC 上)) (DEG 的)) (NP (NN 能源))) (VP (VE 有) (NP (NN 潮汐能) (PU 、) (NN 太阳能))))))) )
1-D,目前，人类已知月球上的能源有	太阳能、核能,None,0,,,,目前 ， 人类 已 知 月球 上 的 能源 有 太阳能 、 核能,目前 ， 人类 已 知 月球 上 的 能源 有 太阳能 、 核能,time PU NN AD VV NN LC DEG NN VE NN PU NN,,时间限定_0（目前）匹配_1（人类已知月球上的能源，太阳能）匹配_2（人类已知月球上的能源，核能）,时间限定_0（目前）匹配_1（人类已知月球上的能源，太阳能）匹配_2（人类已知月球上的能源，核能）,1_0 2_9,1_0 2_9,时间限定 匹配,时间限定 匹配,0,,目前 ， 人类 已 知 月球 上 的 能源 有 太阳能 、 核能,目前 ， 人类 已 知 月球 上 的 能源 有 太阳能 、 核能,time PU NN AD VV NN LC DEG NN VE NN PU NN,( (IP (NP (NT 目前)) (PU ，) (NP (NN 人类)) (VP (ADVP (AD 已)) (VP (VV 知) (IP (NP (DNP (LCP (NP (NN 月球)) (LC 上)) (DEG 的)) (NP (NN 能源))) (VP (VE 有) (NP (NN 太阳能) (PU 、) (NN 核能))))))) )
2-A,一般情况下，图1中表示北京地区电视收视率变化的曲线是	①,None,,7,,,一般 情况 下 ， 图1 中 表示 北京地区 电视 收视率 变化 的 曲线 是 ①,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ①,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,,匹配_0（北京地区电视收视率变化的曲线，①）,匹配_0（北京地区电视收视率变化的曲线，①）,0_13,0_13,匹配,匹配,,,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ①,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ①,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,( (IP (LCP (NP (ADJP (JJ 一般)) (NP (NN 情况))) (LC 下)) (PU ，) (NP (LCP (NP (NN 图1)) (LC 中)) (DNP (NP (CP (IP (VP (VV 表示) (NP (NP (NR 北京地区) (NN 电视)) (NP (NN 收视率)))))) (NP (NN 变化))) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ①)))) )
2-B,一般情况下，图1中表示北京地区电视收视率变化的曲线是	②,None,,7,,,一般 情况 下 ， 图1 中 表示 北京地区 电视 收视率 变化 的 曲线 是 ②,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ②,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,,匹配_0（北京地区电视收视率变化的曲线，②）,匹配_0（北京地区电视收视率变化的曲线，②）,0_13,0_13,匹配,匹配,,,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ②,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ②,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,( (IP (LCP (NP (ADJP (JJ 一般)) (NP (NN 情况))) (LC 下)) (PU ，) (NP (LCP (NP (NN 图1)) (LC 中)) (DNP (NP (CP (IP (VP (VV 表示) (NP (NP (NR 北京地区) (NN 电视)) (NP (NN 收视率)))))) (NP (NN 变化))) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ②)))) )
2-C,一般情况下，图1中表示北京地区电视收视率变化的曲线是	③,None,,7,,,一般 情况 下 ， 图1 中 表示 北京地区 电视 收视率 变化 的 曲线 是 ③,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ③,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,,匹配_0（北京地区电视收视率变化的曲线，③）,匹配_0（北京地区电视收视率变化的曲线，③）,0_13,0_13,匹配,匹配,,,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ③,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ③,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,( (IP (LCP (NP (ADJP (JJ 一般)) (NP (NN 情况))) (LC 下)) (PU ，) (NP (LCP (NP (NN 图1)) (LC 中)) (DNP (NP (CP (IP (VP (VV 表示) (NP (NP (NR 北京地区) (NN 电视)) (NP (NN 收视率)))))) (NP (NN 变化))) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ③)))) )
2-D,一般情况下，图1中表示北京地区电视收视率变化的曲线是	④,None,,7,,,一般 情况 下 ， 图1 中 表示 北京地区 电视 收视率 变化 的 曲线 是 ④,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ④,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,,匹配_0（北京地区电视收视率变化的曲线，④）,匹配_0（北京地区电视收视率变化的曲线，④）,0_13,0_13,匹配,匹配,,,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ④,一般 情况 下 ， 图1 中 表示 北京 地区 电视 收视率 变化 的 曲线 是 ④,JJ NN LC PU NN LC VV loc NN NN NN DEG NN VC NN,( (IP (LCP (NP (ADJP (JJ 一般)) (NP (NN 情况))) (LC 下)) (PU ，) (NP (LCP (NP (NN 图1)) (LC 中)) (DNP (NP (CP (IP (VP (VV 表示) (NP (NP (NR 北京地区) (NN 电视)) (NP (NN 收视率)))))) (NP (NN 变化))) (DEG 的)) (NP (NN 曲线))) (VP (VC 是) (NP (NN ④)))) )
3-A,如果该图为在大气环流模式，S线代表地球表面，则	E处气温比H处高,None,,,5,,如果 该 图 为 在 大气环流 模式 ， S线 代表 地球 表面 ， 则 E处 气温 比 H处 高,如果 该 图 为 在 大气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 气温 比 H处 高,CS DT NN VC P term NN PU NN VV NN NN PU AD NN NN P NN VA,,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）比较_2（E处，H处，气温，高）,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）比较_2（E处，H处，气温，高）,0_3 1_9 2_16-18,0_3 1_9 2_16-18,匹配 比较,匹配 比较,,5,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 气温 比 H处 高,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 E处 气温 比 H处 高,CS DT NN VC P term NN PU NN VV NN NN PU AD VV NN P NN VA,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (PP (P 在) (NP (NN 大气环流))) (NP (NN 模式)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (NP (ADVP (AD 则)) (NP (NN E处) (NN 气温))) (VP (PP (P 比) (NP (NN H处))) (VP (VA 高))))) )
3-B,如果该图为在大气环流模式，S线代表地球表面，则	F处气压比G处低,None,,,5,,如果 该 图 为 在 大气环流 模式 ， S线 代表 地球 表面 ， 则 F处 气压 比 G处 低,如果 该 图 为 在 大气 环流 模式 ， S线 代表 地球 表面 ， 则 F处 气压 比 G处 低,CS DT NN VC P term NN PU NN VV NN NN PU AD NN NN P NN VA,,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）比较_2（F处，G处，气压，低）,匹配_0（该图，在大气环流模式）匹配_1（S线，地球表面）比较_2（F处，G处，气压，低）,0_3 1_9 2_16-18,0_3 1_9 2_16-18,匹配 比较,匹配 比较,,5,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 F处 气压 比 G处 低,如果 该 图 为 在 气 环流 模式 ， S线 代表 地球 表面 ， 则 F处 气压 比 G处 低,CS DT NN VC P term NN PU NN VV NN NN PU AD VV NN P NN VA,( (IP (CP (ADVP (CS 如果)) (IP (NP (DP (DT 该)) (NP (NN 图))) (VP (VC 为) (NP (PP (P 在) (NP (NN 大气环流))) (NP (NN 模式)))))) (PU ，) (IP (NP (NN S线)) (VP (VV 代表) (NP (NN 地球) (NN 表面)))) (PU ，) (IP (ADVP (AD 则)) (NP (NN F处) (NN 气压)) (VP (PP (P 比) (NP (NN G处))) (VP (VA 低))))) )
